Designator,MID X,Mid Y,Layer,Rotation
C1,134.9625,-59.4,top,0
C2,136.9625,-51.1,top,180
C3,131.025,-59.1,top,0
C4,131.025,-56.9,top,0
FB1,134.0125,-52.2,top,90
FB2,133.9625,-56.4,top,-90
J1,137.2,-64.9,top,-90
R1,127.6625,-56.85,top,-90
R2,125.6125,-56.8,top,-90
R3,124.3,-68,top,90
U2,130.8975,-53.6,top,0
